køn	alder	fraflytningskommune	tilflytningskommune	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Mænd	5-9 år	København	København	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	5-9 år	København	Frederiksberg	46	59	49	74	77	50	62	66	97	61	75	58
Mænd	5-9 år	København	Dragør	3	7	10	9	8	7	12	7	7	11	23	20
Mænd	5-9 år	København	Tårnby	32	25	43	25	35	29	47	39	38	43	59	53
Mænd	5-9 år	København	Albertslund	8	7	12	9	12	7	3	6	18	12	10	7
Mænd	5-9 år	København	Ballerup	10	13	13	6	18	16	8	16	20	23	14	9
Mænd	5-9 år	København	Brøndby	15	10	14	9	14	13	9	13	10	15	7	11
Mænd	5-9 år	København	Gentofte	36	34	45	47	62	48	65	69	65	77	70	76
Mænd	5-9 år	København	Gladsaxe	33	38	28	44	34	29	44	49	32	40	34	35
Mænd	5-9 år	København	Glostrup	2	6	7	4	9	11	8	7	11	7	10	12
Mænd	5-9 år	København	Herlev	7	14	11	12	6	12	16	18	20	14	13	22
Mænd	5-9 år	København	Hvidovre	15	29	24	32	24	34	21	27	35	49	26	43
Mænd	5-9 år	København	Høje-Taastrup	15	17	5	9	8	8	15	9	16	29	9	16
Mænd	5-9 år	København	Ishøj	7	5	4	5	5	6	0	5	8	5	9	9
Mænd	5-9 år	København	Lyngby-Taarbæk	13	15	17	18	31	27	34	23	28	43	29	27
Mænd	5-9 år	København	Rødovre	13	27	13	18	18	15	28	21	32	21	30	32
Mænd	5-9 år	København	Vallensbæk	1	5	13	8	8	2	4	5	4	3	5	12
Mænd	5-9 år	København	Allerød	2	2	6	9	2	3	8	9	5	12	11	10
Mænd	5-9 år	København	Egedal	9	10	11	7	12	10	13	12	9	12	7	14
Mænd	5-9 år	København	Fredensborg	17	7	7	6	3	13	8	9	18	12	13	17
Mænd	5-9 år	København	Frederikssund	11	10	10	3	7	8	8	6	7	6	4	9
Mænd	5-9 år	København	Furesø	13	8	12	21	17	13	25	23	19	29	36	27
Mænd	5-9 år	København	Gribskov	6	5	10	8	5	7	5	7	14	6	4	3
Mænd	5-9 år	København	Halsnæs	5	8	0	3	6	3	6	6	5	5	7	5
Mænd	5-9 år	København	Helsingør	11	10	14	20	19	16	6	12	9	17	24	17
Mænd	5-9 år	København	Hillerød	11	8	7	6	10	10	10	11	8	18	8	14
Mænd	5-9 år	København	Hørsholm	2	4	4	5	6	7	10	7	13	11	10	12
Mænd	5-9 år	København	Rudersdal	13	9	13	23	27	22	26	28	39	26	20	33
Mænd	5-9 år	København	Bornholm	4	5	7	5	5	4	5	3	6	2	7	13
Mænd	5-9 år	København	Christiansø	0	1	0	1	0	0	0	0	0	0	2	0
Mænd	5-9 år	København	Greve	11	14	10	10	11	7	12	10	10	13	29	15
Mænd	5-9 år	København	Køge	13	15	7	5	6	3	10	8	13	15	8	10
Mænd	5-9 år	København	Lejre	7	0	6	1	2	7	7	4	5	6	7	7
Mænd	5-9 år	København	Roskilde	11	11	23	20	14	17	8	19	20	23	44	26
Mænd	5-9 år	København	Solrød	3	7	5	1	4	1	1	4	11	8	9	9
Mænd	5-9 år	København	Faxe	15	9	5	3	2	5	4	4	7	5	5	6
Mænd	5-9 år	København	Guldborgsund	11	10	7	1	7	1	3	1	3	0	10	2
Mænd	5-9 år	København	Holbæk	23	14	12	4	5	5	12	5	7	11	6	12
Mænd	5-9 år	København	Kalundborg	10	10	7	3	0	2	1	2	3	4	3	2
Mænd	5-9 år	København	Lolland	8	8	4	2	3	4	3	1	1	3	3	1
Mænd	5-9 år	København	Næstved	8	10	11	7	5	5	1	5	3	5	7	14
Mænd	5-9 år	København	Odsherred	10	5	10	1	0	3	5	1	4	4	5	5
Mænd	5-9 år	København	Ringsted	7	9	6	9	5	3	3	6	5	10	8	5
Mænd	5-9 år	København	Slagelse	9	13	5	7	4	0	3	5	3	5	2	6
Mænd	5-9 år	København	Sorø	10	9	4	1	0	4	6	3	2	5	6	10
Mænd	5-9 år	København	Stevns	4	4	4	3	3	2	3	2	6	2	4	5
Mænd	5-9 år	København	Vordingborg	9	10	11	15	5	6	5	4	9	3	6	14
Mænd	5-9 år	København	Assens	1	1	0	0	0	1	1	0	0	1	0	0
Mænd	5-9 år	København	Faaborg-Midtfyn	1	5	1	1	0	2	1	1	2	0	1	6
Mænd	5-9 år	København	Kerteminde	0	0	0	1	0	0	0	0	2	1	0	1
Mænd	5-9 år	København	Langeland	1	1	0	0	0	0	3	0	1	1	1	1
Mænd	5-9 år	København	Middelfart	2	0	0	1	0	0	0	0	2	1	0	0
Mænd	5-9 år	København	Nordfyns	0	2	0	0	0	0	0	1	0	0	0	0
Mænd	5-9 år	København	Nyborg	3	3	5	4	1	2	2	0	0	4	5	2
Mænd	5-9 år	København	Odense	6	7	11	10	7	3	7	3	3	8	10	9
Mænd	5-9 år	København	Svendborg	1	11	3	1	1	4	1	4	6	4	7	12
Mænd	5-9 år	København	Ærø	0	1	0	1	1	0	1	1	0	2	3	1
Mænd	5-9 år	København	Billund	0	1	1	0	0	0	0	0	1	0	0	1
Mænd	5-9 år	København	Esbjerg	3	0	3	0	0	1	2	2	3	0	2	2
Mænd	5-9 år	København	Fanø	0	1	0	0	0	0	2	0	0	2	1	0
Mænd	5-9 år	København	Fredericia	0	0	1	0	1	0	1	0	0	1	0	2
Mænd	5-9 år	København	Haderslev	0	2	0	1	1	0	0	2	2	0	0	2
Mænd	5-9 år	København	Kolding	0	3	1	3	0	2	0	0	3	3	2	1
Mænd	5-9 år	København	Sønderborg	0	1	3	3	2	2	3	1	2	1	2	2
Mænd	5-9 år	København	Tønder	1	0	1	1	1	1	0	2	0	0	2	2
Mænd	5-9 år	København	Varde	3	1	0	1	0	0	0	0	1	0	0	0
Mænd	5-9 år	København	Vejen	0	2	0	0	0	0	0	0	0	0	0	1
Mænd	5-9 år	København	Vejle	4	0	2	1	2	1	0	3	8	1	7	2
Mænd	5-9 år	København	Aabenraa	0	2	2	1	1	0	2	2	2	0	1	2
Mænd	5-9 år	København	Favrskov	3	0	1	0	0	0	0	0	1	0	0	0
Mænd	5-9 år	København	Hedensted	0	0	2	0	0	0	1	0	0	0	3	0
Mænd	5-9 år	København	Horsens	1	1	0	0	0	3	0	0	0	4	1	0
Mænd	5-9 år	København	Norddjurs	2	0	3	0	0	0	0	0	1	0	2	2
Mænd	5-9 år	København	Odder	0	2	0	0	0	0	1	0	2	0	2	0
Mænd	5-9 år	København	Randers	2	1	4	4	0	3	1	1	2	2	0	2
Mænd	5-9 år	København	Samsø	0	0	1	0	1	0	0	0	2	0	0	0
Mænd	5-9 år	København	Silkeborg	3	2	0	1	2	1	3	3	1	2	4	4
Mænd	5-9 år	København	Skanderborg	1	2	1	0	0	0	1	0	0	2	2	3
Mænd	5-9 år	København	Syddjurs	5	3	0	1	0	1	0	0	0	0	0	4
Mænd	5-9 år	København	Aarhus	8	5	5	5	4	1	7	10	12	12	11	9
Mænd	5-9 år	København	Herning	0	0	0	3	1	1	2	1	2	1	1	0
Mænd	5-9 år	København	Holstebro	2	4	0	0	0	1	1	0	1	2	2	1
Mænd	5-9 år	København	Ikast-Brande	1	2	0	0	2	1	1	0	0	0	1	0
Mænd	5-9 år	København	Lemvig	0	1	0	1	0	0	0	0	0	0	0	0
Mænd	5-9 år	København	Ringkøbing-Skjern	2	0	1	2	1	1	2	0	0	0	0	1
Mænd	5-9 år	København	Skive	1	0	0	0	0	0	0	3	0	0	0	0
Mænd	5-9 år	København	Struer	0	0	0	2	0	0	0	0	0	0	0	0
Mænd	5-9 år	København	Viborg	3	2	3	1	1	2	4	2	3	1	3	2
Mænd	5-9 år	København	Brønderslev	0	1	0	0	0	0	0	0	0	0	0	0
Mænd	5-9 år	København	Frederikshavn	1	0	0	0	0	0	0	0	2	0	2	0
Mænd	5-9 år	København	Hjørring	1	4	1	0	1	0	2	0	1	0	0	0
Mænd	5-9 år	København	Jammerbugt	2	1	2	0	0	0	1	0	0	0	0	0
Mænd	5-9 år	København	Læsø	0	0	0	0	0	0	0	0	1	0	0	0
Mænd	5-9 år	København	Mariagerfjord	0	0	1	1	0	2	0	0	2	0	1	0
Mænd	5-9 år	København	Morsø	0	0	1	1	0	0	0	0	0	0	1	0
Mænd	5-9 år	København	Rebild	1	0	1	0	0	1	1	1	0	0	0	0
Mænd	5-9 år	København	Thisted	0	2	1	1	0	0	0	1	0	0	2	0
Mænd	5-9 år	København	Vesthimmerlands	0	1	0	1	0	1	0	0	0	0	0	0
Mænd	5-9 år	København	Aalborg	2	5	2	1	2	2	0	2	3	2	1	5
Mænd	5-9 år	Frederiksberg	København	26	37	55	70	76	64	73	67	104	83	82	72
Mænd	5-9 år	Frederiksberg	Frederiksberg	0	0	0	0	0	0	0	0	0	0	0	0
