køn	alder	tilflytningskommune	fraflytningskommune	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Mænd	0-4 år	Frederiksberg	Middelfart	1	0	0	0	0	1	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Nordfyns	0	0	0	0	2	0	0	0	0	1	0	0
Mænd	0-4 år	Frederiksberg	Nyborg	0	1	0	0	0	0	1	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Odense	5	2	0	2	4	1	2	1	0	2	0	1
Mænd	0-4 år	Frederiksberg	Svendborg	1	0	1	2	1	0	1	0	0	1	0	0
Mænd	0-4 år	Frederiksberg	Ærø	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Billund	0	0	1	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Esbjerg	0	0	1	0	0	0	0	0	0	4	1	0
Mænd	0-4 år	Frederiksberg	Fanø	0	0	0	1	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Fredericia	0	1	1	0	1	1	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Haderslev	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Kolding	0	0	0	0	1	0	2	1	0	0	1	0
Mænd	0-4 år	Frederiksberg	Sønderborg	0	2	0	1	1	2	1	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Tønder	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Varde	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Vejen	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Vejle	0	0	0	0	2	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Aabenraa	0	0	1	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Favrskov	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Hedensted	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Horsens	0	1	0	0	0	0	0	1	0	1	2	0
Mænd	0-4 år	Frederiksberg	Norddjurs	0	0	0	0	0	0	0	1	0	1	0	0
Mænd	0-4 år	Frederiksberg	Odder	1	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Randers	0	0	0	0	0	1	0	0	0	0	0	1
Mænd	0-4 år	Frederiksberg	Samsø	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Silkeborg	0	0	0	0	0	2	0	1	0	1	0	0
Mænd	0-4 år	Frederiksberg	Skanderborg	1	0	0	0	0	1	0	0	1	0	0	0
Mænd	0-4 år	Frederiksberg	Syddjurs	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Aarhus	4	5	8	1	11	3	3	7	5	4	1	6
Mænd	0-4 år	Frederiksberg	Herning	0	0	0	0	0	0	0	0	0	0	0	1
Mænd	0-4 år	Frederiksberg	Holstebro	0	1	0	1	0	1	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Ikast-Brande	0	0	0	1	0	0	1	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Lemvig	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Ringkøbing-Skjern	1	1	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Skive	0	0	0	1	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Struer	1	0	0	0	0	1	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Viborg	1	0	1	0	0	0	0	0	0	0	0	1
Mænd	0-4 år	Frederiksberg	Brønderslev	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Frederikshavn	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Hjørring	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Jammerbugt	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Læsø	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Mariagerfjord	0	0	0	1	0	0	0	1	1	0	0	0
Mænd	0-4 år	Frederiksberg	Morsø	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Rebild	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Thisted	0	0	0	0	0	0	0	0	0	0	1	0
Mænd	0-4 år	Frederiksberg	Vesthimmerlands	0	0	0	0	0	0	1	0	1	0	0	0
Mænd	0-4 år	Frederiksberg	Aalborg	2	1	0	2	1	1	2	0	1	1	1	0
Mænd	5-9 år	København	København	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	5-9 år	København	Frederiksberg	26	37	55	70	76	64	73	67	104	83	82	72
Mænd	5-9 år	København	Dragør	1	3	3	5	2	1	5	2	4	5	3	7
Mænd	5-9 år	København	Tårnby	11	12	7	14	9	22	19	16	14	19	32	25
Mænd	5-9 år	København	Albertslund	2	2	3	3	2	4	1	4	5	4	7	4
Mænd	5-9 år	København	Ballerup	2	8	4	4	2	2	5	3	2	2	7	5
Mænd	5-9 år	København	Brøndby	5	4	6	3	7	4	4	11	9	6	9	6
Mænd	5-9 år	København	Gentofte	10	17	18	21	25	24	25	16	20	36	22	24
Mænd	5-9 år	København	Gladsaxe	9	10	12	10	12	12	14	15	14	12	16	9
Mænd	5-9 år	København	Glostrup	0	1	2	2	3	5	3	5	2	5	4	4
Mænd	5-9 år	København	Herlev	2	5	0	1	10	3	5	2	11	7	5	3
Mænd	5-9 år	København	Hvidovre	4	2	7	10	9	14	21	14	18	18	14	10
Mænd	5-9 år	København	Høje-Taastrup	3	3	3	8	4	2	8	7	9	7	6	12
Mænd	5-9 år	København	Ishøj	4	4	2	2	2	7	5	1	3	6	0	4
Mænd	5-9 år	København	Lyngby-Taarbæk	3	3	7	3	5	7	4	9	7	16	9	8
Mænd	5-9 år	København	Rødovre	2	6	10	5	7	6	2	12	19	10	13	9
Mænd	5-9 år	København	Vallensbæk	0	0	1	1	2	2	2	2	1	2	2	4
Mænd	5-9 år	København	Allerød	0	1	0	0	0	1	1	2	1	2	1	3
Mænd	5-9 år	København	Egedal	3	1	0	5	4	1	11	4	4	4	3	5
Mænd	5-9 år	København	Fredensborg	4	7	4	5	4	0	7	10	5	4	5	8
