køn,alder,fraflytningskommune,tilflytningskommune,år,antal
Mænd,0-4 år,Slagelse,København,2012,9
Mænd,0-4 år,Slagelse,København,2013,5
Mænd,0-4 år,Slagelse,København,2014,2
Mænd,0-4 år,Slagelse,København,2015,5
Mænd,0-4 år,Slagelse,København,2016,10
Mænd,0-4 år,Slagelse,København,2017,6
Mænd,0-4 år,Sorø,København,2006,1
Mænd,0-4 år,Sorø,København,2007,4
Mænd,0-4 år,Sorø,København,2008,3
Mænd,0-4 år,Sorø,København,2009,1
Mænd,0-4 år,Sorø,København,2010,0
Mænd,0-4 år,Sorø,København,2011,6
Mænd,0-4 år,Sorø,København,2012,1
Mænd,0-4 år,Sorø,København,2013,0
Mænd,0-4 år,Sorø,København,2014,6
Mænd,0-4 år,Sorø,København,2015,3
Mænd,0-4 år,Sorø,København,2016,0
Mænd,0-4 år,Sorø,København,2017,1
Mænd,0-4 år,Stevns,København,2006,3
Mænd,0-4 år,Stevns,København,2007,1
Mænd,0-4 år,Stevns,København,2008,2
Mænd,0-4 år,Stevns,København,2009,4
Mænd,0-4 år,Stevns,København,2010,1
Mænd,0-4 år,Stevns,København,2011,3
Mænd,0-4 år,Stevns,København,2012,1
Mænd,0-4 år,Stevns,København,2013,1
Mænd,0-4 år,Stevns,København,2014,2
Mænd,0-4 år,Stevns,København,2015,1
Mænd,0-4 år,Stevns,København,2016,2
Mænd,0-4 år,Stevns,København,2017,4
Mænd,0-4 år,Vordingborg,København,2006,2
Mænd,0-4 år,Vordingborg,København,2007,6
Mænd,0-4 år,Vordingborg,København,2008,5
Mænd,0-4 år,Vordingborg,København,2009,8
Mænd,0-4 år,Vordingborg,København,2010,5
Mænd,0-4 år,Vordingborg,København,2011,4
Mænd,0-4 år,Vordingborg,København,2012,2
Mænd,0-4 år,Vordingborg,København,2013,0
Mænd,0-4 år,Vordingborg,København,2014,1
Mænd,0-4 år,Vordingborg,København,2015,0
Mænd,0-4 år,Vordingborg,København,2016,3
Mænd,0-4 år,Vordingborg,København,2017,1
Mænd,0-4 år,Assens,København,2006,0
Mænd,0-4 år,Assens,København,2007,0
Mænd,0-4 år,Assens,København,2008,1
Mænd,0-4 år,Assens,København,2009,0
Mænd,0-4 år,Assens,København,2010,0
Mænd,0-4 år,Assens,København,2011,1
Mænd,0-4 år,Assens,København,2012,0
Mænd,0-4 år,Assens,København,2013,0
Mænd,0-4 år,Assens,København,2014,0
Mænd,0-4 år,Assens,København,2015,0
Mænd,0-4 år,Assens,København,2016,1
